[INFO ] [2021-07-24 16:52:11,187] Pre-condition - Step 01: Open browser 'firefox' and navigate to 'http://demo.nopcommerce.com/'
[INFO ] [2021-07-24 16:54:21,653] Pre-condition - Step 01: Open browser 'firefox' and navigate to 'http://demo.nopcommerce.com/'
[INFO ] [2021-07-24 16:54:33,959] User_01_Register - Step 01: Verify Home Page is displayed
[INFO ] [2021-07-24 16:54:34,153] User_1_Register - Step 02: Click to Register Link
[INFO ] [2021-07-24 16:54:35,869] User_1_Register - Step 03: Click to Gender male radio
[INFO ] [2021-07-24 16:54:36,245] User_1_Register - Step 04: Input to Firstname Textbox
[INFO ] [2021-07-24 16:54:36,382] User_1_Register - Step 05: Input to Lastname Textbox
[INFO ] [2021-07-24 16:54:36,546] User_1_Register - Step 06: Input to Email Textbox
[INFO ] [2021-07-24 16:54:36,731] User_1_Register - Step 07: Input to Password Textbox
[INFO ] [2021-07-24 16:54:36,840] User_1_Register - Step 08: Input to Confirm Password Textbox
[INFO ] [2021-07-24 16:54:36,948] User_1_Register - Step 09: Click to Register Button
[INFO ] [2021-07-24 16:54:39,127] User_1_Register - Step 10: Verify Message is Displayed
[INFO ] [2021-07-24 16:54:39,293] User_1_Register - Step 11: Click to Logout Link
[INFO ] [2021-07-24 16:54:40,802] User_1_Register - Step 12: Verify Home Page Slide is Displayed
[INFO ] [2021-07-24 16:54:40,923] User_2_Register - Step 01: Click to Login Link
[INFO ] [2021-07-24 16:54:42,091] User_2_Register - Step 02: Input to Email Textbox
[INFO ] [2021-07-24 16:54:42,222] User_2_Register - Step 03: Input to Password Textbox
[INFO ] [2021-07-24 16:54:42,318] User_2_Register - Step 04: Click to Login Button
[INFO ] [2021-07-24 16:54:43,959] User_2_Register - Step 05: Verify Home Page Slide is Displayed
[INFO ] [2021-07-24 17:07:17,337] Pre-condition: Open browser 'firefox' and navigate to 'http://demo.nopcommerce.com/'
[INFO ] [2021-07-24 17:07:31,006] User_01_Register - Step 01: Verify Home Page is displayed
[INFO ] [2021-07-24 17:07:31,182] User_1_Register - Step 02: Click to Register Link
[INFO ] [2021-07-24 17:07:34,002] User_1_Register - Step 03: Click to Gender male radio
[INFO ] [2021-07-24 17:07:34,339] User_1_Register - Step 04: Input to Firstname Textbox
[INFO ] [2021-07-24 17:07:34,438] User_1_Register - Step 05: Input to Lastname Textbox
[INFO ] [2021-07-24 17:07:34,542] User_1_Register - Step 06: Input to Email Textbox
[INFO ] [2021-07-24 17:07:34,683] User_1_Register - Step 07: Input to Password Textbox
[INFO ] [2021-07-24 17:07:34,777] User_1_Register - Step 08: Input to Confirm Password Textbox
[INFO ] [2021-07-24 17:07:34,866] User_1_Register - Step 09: Click to Register Button
[INFO ] [2021-07-24 17:07:39,199] User_1_Register - Step 10: Verify Message is Displayed
[INFO ] [2021-07-24 17:07:39,273] User_1_Register - Step 11: Click to Logout Link
[INFO ] [2021-07-24 17:07:42,044] User_1_Register - Step 12: Verify Home Page Slide is Displayed
[INFO ] [2021-07-24 17:07:42,161] User_2_Register - Step 01: Click to Login Link
[INFO ] [2021-07-24 17:07:44,456] User_2_Register - Step 02: Input to Email Textbox
[INFO ] [2021-07-24 17:07:44,557] User_2_Register - Step 03: Input to Password Textbox
[INFO ] [2021-07-24 17:07:44,626] User_2_Register - Step 04: Click to Login Button
[INFO ] [2021-07-24 17:07:47,356] User_2_Register - Step 05: Verify Home Page Slide is Displayed
[INFO ] [2021-07-24 17:07:47,438] Post-Condition: Close browser
[INFO ] [2021-07-24 17:12:04,877] Pre-condition: Open browser 'chrome' and navigate to 'http://demo.nopcommerce.com/'
[INFO ] [2021-07-24 17:12:13,196] User_01_Register - Step 01: Verify Home Page is displayed
[INFO ] [2021-07-24 17:12:13,466]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 17:12:13,469] User_1_Register - Step 02: Click to Register Link
[INFO ] [2021-07-24 17:12:16,403] User_1_Register - Step 03: Click to Gender male radio
[INFO ] [2021-07-24 17:12:16,593] User_1_Register - Step 04: Input to Firstname Textbox
[INFO ] [2021-07-24 17:12:16,857] User_1_Register - Step 05: Input to Lastname Textbox
[INFO ] [2021-07-24 17:12:17,143] User_1_Register - Step 06: Input to Email Textbox
[INFO ] [2021-07-24 17:12:17,476] User_1_Register - Step 07: Input to Password Textbox
[INFO ] [2021-07-24 17:12:17,802] User_1_Register - Step 08: Input to Confirm Password Textbox
[INFO ] [2021-07-24 17:12:18,033] User_1_Register - Step 09: Click to Register Button
[INFO ] [2021-07-24 17:12:22,541] User_1_Register - Step 10: Verify Message is Displayed
[INFO ] [2021-07-24 17:12:22,617] User_1_Register - Step 11: Click to Logout Link
[INFO ] [2021-07-24 17:12:25,572] User_1_Register - Step 12: Verify Home Page Slide is Displayed
[INFO ] [2021-07-24 17:12:25,635]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 17:12:25,641] User_2_Register - Step 01: Click to Login Link
[INFO ] [2021-07-24 17:12:27,935] User_2_Register - Step 02: Input to Email Textbox
[INFO ] [2021-07-24 17:12:28,087] User_2_Register - Step 03: Input to Password Textbox
[INFO ] [2021-07-24 17:12:28,232] User_2_Register - Step 04: Click to Login Button
[INFO ] [2021-07-24 17:12:29,595] User_2_Register - Step 05: Verify Home Page Slide is Displayed
[INFO ] [2021-07-24 17:12:29,647]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 17:12:29,650] Post-Condition: Close browser
[INFO ] [2021-07-24 17:32:16,775] Pre-condition: Open browser 'chrome' and navigate to 'http://demo.nopcommerce.com/'
[INFO ] [2021-07-24 17:32:24,268] User_01_Register - Step 01: Verify Home Page is displayed
[INFO ] [2021-07-24 17:32:24,526]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 17:32:24,529] User_1_Register - Step 02: Click to Register Link
[INFO ] [2021-07-24 17:32:26,688] User_1_Register - Step 03: Click to Gender male radio
[INFO ] [2021-07-24 17:32:26,892] User_1_Register - Step 04: Input to Firstname Textbox
[INFO ] [2021-07-24 17:32:27,528] User_1_Register - Step 05: Input to Lastname Textbox
[INFO ] [2021-07-24 17:32:28,029] User_1_Register - Step 06: Input to Email Textbox
[INFO ] [2021-07-24 17:32:28,979] User_1_Register - Step 07: Input to Password Textboxkool1804@live.com
[INFO ] [2021-07-24 17:32:29,315] User_1_Register - Step 08: Input to Confirm Password Textbox123456
[INFO ] [2021-07-24 17:32:30,255] User_1_Register - Step 09: Click to Register Button
